"""Procedimento"";""Quantidade aprovada"";""Valor aprovado"""
"""0201010224 BIOPSIA DE GANGLIO LINFATICO"";21548;1016608,73"
"""0201010232 BIOPSIA DE GLANDULA SALIVAR"";599;19618,43"
"""0201010240 BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR"";145;29351,69"
"""0201010259 BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)"";412;108788,63"
"""0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)"";22892;2525014,66"
"""0201010275 BIOPSIA DE MEDULA OSSEA"";36615;7533280,71"
"""0201010283 BIOPSIA DE MUSCULO (A CEU ABERTO)"";1104;21908,91"
"""0201010291 BIOPSIA DE NERVO"";182;-"
"""0201010305 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)"";1165;211000,81"
"""0201010313 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)"";4119;747190,82"
"""0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)"";13013;2420799,72"
"""0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)"";3865;716780,52"
"""0201010348 BIOPSIA DE OSSO DO CRANIO E DA FACE"";438;-"
"""0201010372 BIOPSIA DE PELE E PARTES MOLES"";100392;2806420,60"
"""0201010380 BIOPSIA DE PENIS"";1787;33500,23"
"""0201010399 BIOPSIA DE PIRAMIDE NASAL"";907;-"
"""0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA)"";14558;1787697,03"
"""0201010410 BIOPSIA DE PROSTATA"";9065;1784317,87"
"""0201010429 BIOPSIA DE PULMAO POR ASPIRACAO"";2862;-"
"""0201010437 BIOPSIA DE RIM POR PUNCAO"";14525;721044,06"
"""0201010445 BIOPSIA DE SEIO PARANASAL"";306;-"
"""0201010453 BIOPSIA DE SINOVIA"";69;-"
"""0201010461 BIOPSIA DE TESTICULO"";405;-"
"""0201010470 BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF"";1487;-"
"""0201010488 BIOPSIA DE URETER"";441;21127,08"
"""0201010496 BIOPSIA DE URETRA"";424;20212,54"
"""0201010500 BIOPSIA/PUNCAO DE VAGINA"";2856;53050,16"
"""0201010518 BIOPSIA/PUNCAO DE VULVA"";1849;34498,42"
"""0201010526 BIOPSIA DOS TECIDOS MOLES DA BOCA"";2830;62985,01"
"""0201010534 BIOPSIA ESTEREOTAXICA"";1053;1888375,30"
"""0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE"";108926;11201370,85"
"""0201010550 BIOPSIA PRE-ESCALENICA"";1378;240480,57"
"""0201010569 BIOPSIA/EXERESE DE NODULO DE MAMA"";13357;942903,19"
"""0201010593 PUNCAO DE CISTERNA SUB-OCCIPITAL"";337;-"
"""0201010615 PUNCAO DE VAGINA"";603;8586,90"
"""0201010623 PUNCAO EXPLORADORA DO DEFERENTE"";47;662,70"
"""0201010631 PUNCAO LOMBAR"";169679;-"
"""0201010640 PUNCAO P/ ESVAZIAMENTO"";4950;-"
"""0201010658 PUNCAO VENTRICULAR TRANSFONTANELA"";533;-"
"""0201010666 BIOPSIA DO COLO UTERINO"";15297;296048,62"
"""0201020017 COLETA DE LAVADO BRONCO-ALVEOLAR"";5114;-"
"""0201020025 COLETA DE LINFA PARA PESQUISA DE M. LEPRAE"";83;-"
"""0201020033 COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO"";2370;-"
"""0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL"";2329740;-"
"""0201020050 COLETA DE SANGUE PARA TRIAGEM NEONATAL"";519877;-"
"""0202010015 CLEARANCE OSMOLAR"";11235;-"
"""0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO"";393729;-"
"""0202010031 DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS"";17173;-"
"""0202010040 DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)"";164105;-"
"""0202010058 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS)"";1530;-"
"""0202010066 DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS)"";5740;-"
"""0202010074 DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS)"";223126;-"
"""0202010082 DETERMINACAO DE OSMOLARIDADE"";160908;-"
"""0202010090 DOSAGEM DE 5-NUCLEOTIDASE"";2014;-"
"""0202010104 DOSAGEM DE ACETONA"";9886;-"
"""0202010112 DOSAGEM DE ACIDO ASCORBICO"";12582;-"
"""0202010120 DOSAGEM DE ACIDO URICO"";2844867;-"
"""0202010139 DOSAGEM DE ACIDO VANILMANDELICO"";2627;-"
"""0202010147 DOSAGEM DE ALDOLASE"";15572;-"
"""0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA"";15602;-"
"""0202010163 DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA"";16023;-"
"""0202010171 DOSAGEM DE ALFA-2-MACROGLOBULINA"";1288;-"
"""0202010180 DOSAGEM DE AMILASE"";5271529;-"
"""0202010198 DOSAGEM DE AMONIA"";53864;-"
"""0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES"";24052347;-"
"""0202010210 DOSAGEM DE CALCIO"";15296575;-"
"""0202010228 DOSAGEM DE CALCIO IONIZAVEL"";16246419;-"
"""0202010236 DOSAGEM DE CAROTENO"";2574;-"
"""0202010244 DOSAGEM DE CATECOLAMINAS"";2756;-"
"""0202010252 DOSAGEM DE CERULOPLASMINA"";19238;-"
"""0202010260 DOSAGEM DE CLORETO"";11145407;-"
"""0202010279 DOSAGEM DE COLESTEROL HDL"";1054312;-"
"""0202010287 DOSAGEM DE COLESTEROL LDL"";857261;-"
"""0202010295 DOSAGEM DE COLESTEROL TOTAL"";1512144;-"
"""0202010309 DOSAGEM DE COLINESTERASE"";21110;-"
"""0202010317 DOSAGEM DE CREATININA"";85535698;-"
"""0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK)"";7615707;-"
"""0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB"";4083012;-"
"""0202010341 DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA"";3595;-"
"""0202010350 DOSAGEM DE DESIDROGENASE GLUTAMICA"";3783;-"
"""0202010368 DOSAGEM DE DESIDROGENASE LATICA"";6857842;-"
"""0202010376 DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)"";367640;-"
"""0202010384 DOSAGEM DE FERRITINA"";1170134;-"
"""0202010392 DOSAGEM DE FERRO SERICO"";769882;-"
"""0202010406 DOSAGEM DE FOLATO"";326654;-"
"""0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL"";51587;-"
"""0202010422 DOSAGEM DE FOSFATASE ALCALINA"";8502094;-"
"""0202010430 DOSAGEM DE FOSFORO"";10699043;-"
"""0202010449 DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA"";10023;-"
"""0202010457 DOSAGEM DE GALACTOSE"";24647;-"
"""0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)"";8727507;-"
"""0202010473 DOSAGEM DE GLICOSE"";28906535;-"
"""0202010481 DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE"";12834;-"
"""0202010490 DOSAGEM DE HAPTOGLOBINA"";100926;-"
"""0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA"";900528;-"
"""0202010511 DOSAGEM DE HIDROXIPROLINA"";25316;-"
"""0202010538 DOSAGEM DE LACTATO"";15560635;-"
"""0202010546 DOSAGEM DE LEUCINO-AMINOPEPTIDASE"";37673;-"
"""0202010554 DOSAGEM DE LIPASE"";2463543;-"
"""0202010562 DOSAGEM DE MAGNESIO"";33639720;-"
"""0202010570 DOSAGEM DE MUCO-PROTEINAS"";11872;-"
"""0202010589 DOSAGEM DE PIRUVATO"";29447;-"
"""0202010597 DOSAGEM DE PORFIRINAS"";9738;-"
"""0202010600 DOSAGEM DE POTASSIO"";82611669;-"
"""0202010619 DOSAGEM DE PROTEINAS TOTAIS"";2069201;-"
"""0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES"";6630248;-"
"""0202010635 DOSAGEM DE SODIO"";80206195;-"
"""0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)"";22466182;-"
"""0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)"";22327207;-"
"""0202010660 DOSAGEM DE TRANSFERRINA"";436562;-"
"""0202010678 DOSAGEM DE TRIGLICERIDEOS"";1774972;-"
"""0202010686 DOSAGEM DE TRIPTOFANO"";22206;-"
"""0202010694 DOSAGEM DE UREIA"";81696583;-"
"""0202010708 DOSAGEM DE VITAMINA B12"";690868;-"
"""0202010716 ELETROFORESE DE LIPOPROTEINAS"";4674;-"
"""0202010724 ELETROFORESE DE PROTEINAS"";141351;-"
"""0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )"";42831329;-"
"""0202010740 PROVA DA D-XILOSE"";2996;-"
"""0202010759 TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS"";53974;-"
"""0202010767 DOSAGEM DE 25 HIDROXIVITAMINA D"";229793;-"
"""0202020010 CITOQUIMICA HEMATOLOGICA"";39962;-"
"""0202020029 CONTAGEM DE PLAQUETAS"";16385991;-"
"""0202020037 CONTAGEM DE RETICULOCITOS"";1226227;-"
"""0202020045 DETERMINACAO DE CURVA DE RESISTENCIA GLOBULAR"";27190;-"
"""0202020053 DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA)"";14075;-"
"""0202020061 DETERMINACAO DE SULFO-HEMOGLOBINA"";1814;-"
"""0202020070 DETERMINACAO DE TEMPO DE COAGULACAO"";2135643;-"
"""0202020088 DETERMINACAO DE TEMPO DE LISE DA EUGLOBULINA"";2287;-"
"""0202020096 DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE"";745188;-"
"""0202020100 DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY"";203301;-"
"""0202020126 DETERMINACAO DE TEMPO DE TROMBINA"";1195562;-"
"""0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)"";24571817;-"
"""0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)"";26976749;-"
"""0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)"";2934323;-"
"""0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE"";267637;-"
"""0202020177 DOSAGEM DE ANTITROMBINA III"";35652;-"
"""0202020185 DOSAGEM DE FATOR II"";33665;-"
"""0202020193 DOSAGEM DE FATOR IX"";1504;-"
"""0202020207 DOSAGEM DE FATOR V"";37772;-"
"""0202020215 DOSAGEM DE FATOR VII"";2601;-"
"""0202020223 DOSAGEM DE FATOR VIII"";39326;-"
"""0202020231 DOSAGEM DE FATOR VIII (INIBIDOR)"";1995;-"
"""0202020240 DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO)"";11868;-"
"""0202020258 DOSAGEM DE FATOR X"";13134;-"
"""0202020266 DOSAGEM DE FATOR XI"";567;-"
"""0202020274 DOSAGEM DE FATOR XII"";569;-"
"""0202020282 DOSAGEM DE FATOR XIII"";1300;-"
"""0202020290 DOSAGEM DE FIBRINOGENIO"";1476527;-"
"""0202020304 DOSAGEM DE HEMOGLOBINA"";3294873;-"
"""0202020312 DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC"";19593;-"
"""0202020320 DOSAGEM DE HEMOGLOBINA FETAL"";15827;-"
"""0202020339 DOSAGEM DE HEMOSSIDERINA"";1849;-"
"""0202020347 DOSAGEM DE PLASMINOGENIO"";2100;-"
"""0202020355 ELETROFORESE DE HEMOGLOBINA"";208201;-"
"""0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)"";2024922;-"
"""0202020371 HEMATOCRITO"";3746102;-"
"""0202020380 HEMOGRAMA COMPLETO"";101248345;-"
"""0202020398 LEUCOGRAMA"";2604608;-"
"""0202020401 PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA"";4324;-"
"""0202020410 PESQUISA DE CELULAS LE"";9615;-"
"""0202020428 PESQUISA DE CORPUSCULOS DE HEINZ"";961;-"
"""0202020436 PESQUISA DE FILARIA"";564;-"
"""0202020444 PESQUISA DE HEMOGLOBINA S"";60874;-"
"""0202020452 PESQUISA DE PLASMODIOS POR GOTA ESPESSA E ESFREGACO"";27573;-"
"""0202020460 PESQUISA DE TRIPANOSSOMA"";13266;-"
"""0202020479 PROVA DE COMPATIBILIDADE PRE-TRANSFUSIONAL (MEIOS SALINOS, ALBUMINOSO E COOMBS)"";623667;-"
"""0202020487 PROVA DE CONSUMO DE PROTROMBINA"";2776090;-"
"""0202020495 PROVA DE RETRACAO DO COAGULO"";1468272;-"
"""0202020509 PROVA DO LACO"";254233;-"
"""0202020525 TESTE DE AGREGACAO DE PLAQUETAS"";3413;-"
"""0202020533 TESTE DE HAM (HEMOLISE ACIDA)"";34667;-"
"""0202020541 TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)"";2265115;-"
"""0202020550 DOSAGEM DE PROTEINA C FUNCIONAL"";2296;185625,00"
"""0202020568 DOSAGEM DE PROTEINA S FUNCIONAL"";1476;197656,25"
"""0202020576 PESQUISA DE ANTICOAGULANTE LUPICO"";4619;555334,00"
"""0202030016 CONTAGEM DE LINFOCITOS B"";2003;-"
"""0202030024 CONTAGEM DE LINFOCITOS CD4/CD8"";5424;-"
"""0202030032 CONTAGEM DE LINFOCITOS T TOTAIS"";39010;-"
"""0202030040 DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO)"";74912;-"
"""0202030059 DETECCAO DE RNA DO VIRUS DA HEPATITE C (QUALITATIVO)"";98541;-"
"""0202030067 DETERMINACAO DE COMPLEMENTO (CH50)"";40370;-"
"""0202030075 DETERMINACAO DE FATOR REUMATOIDE"";119418;-"
"""0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA"";27118914;-"
"""0202030091 DOSAGEM DE ALFA-FETOPROTEINA"";174700;-"
"""0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)"";188883;-"
"""0202030113 DOSAGEM DE BETA-2-MICROGLOBULINA"";31323;-"
"""0202030121 DOSAGEM DE COMPLEMENTO C3"";128856;-"
"""0202030130 DOSAGEM DE COMPLEMENTO C4"";123331;-"
"""0202030148 DOSAGEM DE CRIOAGLUTININA"";1312;-"
"""0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA)"";61089;-"
"""0202030164 DOSAGEM DE IMUNOGLOBULINA E (IGE)"";25082;-"
"""0202030172 DOSAGEM DE IMUNOGLOBULINA G (IGG)"";144008;-"
"""0202030180 DOSAGEM DE IMUNOGLOBULINA M (IGM)"";91873;-"
"""0202030199 DOSAGEM DE INIBIDOR DE C1-ESTERASE"";1991;-"
"""0202030202 DOSAGEM DE PROTEINA C REATIVA"";30154462;-"
"""0202030229 IMUNOELETROFORESE DE PROTEINAS"";40925;-"
"""0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)"";387549;32003412,00"
"""0202030245 INTRADERMORREACAO COM DERIVADO PROTEICO PURIFICADO (PPD)"";9620;-"
"""0202030253 PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA"";53177;-"
"""0202030270 PESQUISA DE ANTICORPOS ANTI-DNA"";107216;-"
"""0202030288 PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI"";3989;-"
"""0202030296 PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT/IMUNOBLOT)"";79375;-"
"""0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)"";1902282;-"
"""0202030318 PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2"";148286;-"
"""0202030326 PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP)"";12925;-"
"""0202030334 PESQUISA DE ANTICORPOS ANTI-SCHISTOSOMAS"";4212;-"
"""0202030342 PESQUISA DE ANTICORPOS ANTI-SM"";29268;-"
"""0202030350 PESQUISA DE ANTICORPOS ANTI-SS-A (RO)"";32218;-"
"""0202030369 PESQUISA DE ANTICORPOS ANTI-SS-B (LA)"";27642;-"
"""0202030377 PESQUISA DE ANTICORPOS ANTIADENOVIRUS"";58668;-"
"""0202030385 PESQUISA DE ANTICORPOS ANTIAMEBAS"";3455;-"
"""0202030393 PESQUISA DE ANTICORPOS ANTIASPERGILLUS"";24739;-"
"""0202030407 PESQUISA DE ANTICORPOS ANTIBRUCELAS"";1430;-"
"""0202030415 PESQUISA DE ANTICORPOS ANTICISTICERCO"";2779;-"
"""0202030423 PESQUISA DE ANTICORPOS ANTICLAMIDIA (POR IMUNOFLUORESCENCIA)"";9274;-"
"""0202030431 PESQUISA DE ANTICORPOS ANTICORTEX SUPRARENAL"";190;-"
"""0202030440 PESQUISA DE ANTICORPOS ANTIEQUINOCOCOS"";1450;-"
"""0202030458 PESQUISA DE ANTICORPOS ANTIESCLERODERMA (SCL 70)"";5366;-"
"""0202030466 PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES"";165;-"
"""0202030474 PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO)"";64517;-"
"""0202030482 PESQUISA DE ANTICORPOS ANTIFIGADO"";3840;-"
"""0202030504 PESQUISA DE ANTICORPOS ANTIGLOMERULO"";891;-"
"""0202030512 PESQUISA DE ANTICORPOS ANTIILHOTA DE LANGERHANS"";2905;-"
"""0202030520 PESQUISA DE ANTICORPOS ANTIINSULINA"";1772;-"
"""0202030539 PESQUISA DE ANTICORPOS ANTILEPTOSPIRAS"";11804;-"
"""0202030547 PESQUISA DE ANTICORPOS ANTILISTERIA"";1524;-"
"""0202030555 PESQUISA DE ANTICORPOS ANTIMICROSSOMAS"";20476;-"
"""0202030563 PESQUISA DE ANTICORPOS ANTIMITOCONDRIA"";12847;-"
"""0202030571 PESQUISA DE ANTICORPOS ANTIMUSCULO ESTRIADO"";507;-"
"""0202030580 PESQUISA DE ANTICORPOS ANTIMUSCULO LISO"";14406;-"
"""0202030598 PESQUISA DE ANTICORPOS ANTINUCLEO"";215043;-"
"""0202030601 PESQUISA DE ANTICORPOS ANTIPARIETAIS"";7526;-"
"""0202030610 PESQUISA DE ANTICORPOS ANTIPLASMODIOS"";880;-"
"""0202030628 PESQUISA DE ANTICORPOS ANTITIREOGLOBULINA"";15455;-"
"""0202030636 PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)"";897318;-"
"""0202030644 PESQUISA DE ANTICORPOS CONTRA ANTIGENO E DO VIRUS DA HEPATITE B (ANTI-HBE)"";258692;-"
"""0202030652 PESQUISA DE ANTICORPOS CONTRA HISTOPLASMA"";6327;-"
"""0202030660 PESQUISA DE ANTICORPOS CONTRA O SPOROTRIX SCHENKII"";185;-"
"""0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)"";2501924;-"
"""0202030687 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE D (ANTI-HDV)"";2177;-"
"""0202030695 PESQUISA DE ANTICORPOS CONTRA O VIRUS DO SARAMPO"";13436;-"
"""0202030709 PESQUISA DE ANTICORPOS CONTRA PARACOCCIDIOIDES BRASILIENSIS"";13071;-"
"""0202030717 PESQUISA DE ANTICORPOS E/OU ANTIGENO DO VIRUS SINCICIAL RESPIRATORIO"";185755;-"
"""0202030725 PESQUISA DE ANTICORPOS EIE ANTICLAMIDIA"";2524;-"
"""0202030733 PESQUISA DE ANTICORPOS HETEROFILOS CONTA O VIRUS EPSTEIN-BARR"";22535;-"
"""0202030741 PESQUISA DE ANTICORPOS IGG ANTICITOMEGALOVIRUS"";334050;-"
"""0202030750 PESQUISA DE ANTICORPOS IGG ANTILEISHMANIAS"";10343;-"
"""0202030768 PESQUISA DE ANTICORPOS IGG ANTITOXOPLASMA"";614986;-"
"""0202030776 PESQUISA DE ANTICORPOS IGG ANTITRYPANOSOMA CRUZI"";72571;-"
"""0202030784 PESQUISA DE ANTICORPOS IGG E IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-TOTAL)"";546411;-"
"""0202030792 PESQUISA DE ANTICORPOS IGG CONTRA ARBOVIRUS"";97951;-"
"""0202030806 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA HEPATITE A (ANTI-HAV-IGG)"";111456;-"
"""0202030814 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA RUBEOLA"";101015;-"
"""0202030822 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA VARICELA-HERPES ZOSTER"";14956;-"
"""0202030830 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS EPSTEIN-BARR"";99236;-"
"""0202030849 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS HERPES SIMPLES"";70336;-"
"""0202030857 PESQUISA DE ANTICORPOS IGM ANTICITOMEGALOVIRUS"";285468;-"
"""0202030865 PESQUISA DE ANTICORPOS IGM ANTILEISHMANIAS"";5430;-"
"""0202030873 PESQUISA DE ANTICORPOS IGM ANTITOXOPLASMA"";557168;-"
"""0202030881 PESQUISA DE ANTICORPOS IGM ANTITRYPANOSOMA CRUZI"";17203;-"
"""0202030890 PESQUISA DE ANTICORPOS IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-IGM)"";288543;-"
"""0202030903 PESQUISA DE ANTICORPOS IGM CONTRA ARBOVIRUS"";94432;-"
"""0202030911 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA HEPATITE A (ANTI-HAV-IGM)"";100990;-"
"""0202030920 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA RUBEOLA"";101521;-"
"""0202030938 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS DA VARICELA-HERPES ZOSTER"";12564;-"
"""0202030946 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS EPSTEIN-BARR"";85455;-"
"""0202030954 PESQUISA DE ANTICORPOS IGM CONTRA O VIRUS HERPES SIMPLES"";58197;-"
"""0202030962 PESQUISA DE ANTIGENO CARCINOEMBRIONARIO (CEA)"";229631;-"
"""0202030970 PESQUISA DE ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBSAG)"";2469453;-"
"""0202030989 PESQUISA DE ANTIGENO E DO VIRUS DA HEPATITE B (HBEAG)"";206158;-"
"""0202030997 DETECCAO DE CLAMIDIA E GONOCOCO POR BIOLOGIA MOLECULAR"";10640;-"
"""0202031004 PESQUISA DE CRIOGLOBULINAS"";10440;-"
"""0202031012 PESQUISA DE FATOR REUMATOIDE (WAALER-ROSE)"";18194;-"
"""0202031020 PESQUISA DE HIV-1 POR IMUNOFLUORESCENCIA"";40849;-"
"""0202031039 PESQUISA DE IMUNOGLOBULINA E (IGE) ALERGENO-ESPECIFICA"";5154;-"
"""0202031047 PESQUISA DE TRYPANOSOMA CRUZI (POR IMUNOFLUORESCENCIA)"";69157;-"
"""0202031063 PROVAS IMUNO-ALERGICAS BACTERIANAS"";2724;-"
"""0202031071 QUANTIFICACAO DE RNA DO HIV-1"";6508;-"
"""0202031098 TESTE TREPONEMICO P/ DETECCAO DE SIFILIS"";1067229;5424112,25"
"""0202031101 REACAO DE MONTENEGRO ID"";1788;-"
"""0202031110 TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS PARA POPULACAO GERAL (EXCETO GESTANTE, PARCEIRO OU"";3290093;-"
"""0202031128 TESTE FTA-ABS IGG P/ DIAGNOSTICO DA SIFILIS"";151289;-"
"""0202031136 TESTE FTA-ABS IGM P/ DIAGNOSTICO DA SIFILIS"";131536;-"
"""0202031144 TESTES ALERGICOS DE CONTATO"";20698;-"
